browser position: chr6:52090001-52380006
track name="HoxA_mm10" description="mm10 HoxA_mm10" visibility=1 itemRgb="On"
chr6	52090001	52095001	HoxA_001	1	+	52090001	52095001	255,0,0
chr6	52095002	52100002	HoxA_002	1	+	52095002	52100002	255,24,0
chr6	52100003	52105003	HoxA_003	1	+	52100003	52105003	255,48,0
chr6	52105004	52110004	HoxA_004	1	+	52105004	52110004	255,72,0
chr6	52110005	52115005	HoxA_005	1	+	52110005	52115005	255,96,0
chr6	52115006	52120006	HoxA_006	1	+	52115006	52120006	255,120,0
chr6	52120007	52125007	HoxA_007	1	+	52120007	52125007	255,143,0
chr6	52125008	52130008	HoxA_008	1	+	52125008	52130008	255,167,0
chr6	52130009	52135009	HoxA_009	1	+	52130009	52135009	255,191,0
chr6	52135010	52140010	HoxA_010	1	+	52135010	52140010	255,215,0
chr6	52140011	52145011	HoxA_011	1	+	52140011	52145011	255,239,0
chr6	52145012	52150012	HoxA_012	1	+	52145012	52150012	247,255,0
chr6	52150013	52155013	HoxA_013	1	+	52150013	52155013	223,255,0
chr6	52155014	52160014	HoxA_014	1	+	52155014	52160014	199,255,0
chr6	52160015	52165015	HoxA_015	1	+	52160015	52165015	175,255,0
chr6	52165016	52170016	HoxA_016	1	+	52165016	52170016	151,255,0
chr6	52170017	52175017	HoxA_017	1	+	52170017	52175017	128,255,0
chr6	52175018	52180018	HoxA_018	1	+	52175018	52180018	104,255,0
chr6	52180019	52185019	HoxA_019	1	+	52180019	52185019	80,255,0
chr6	52185020	52190020	HoxA_020	1	+	52185020	52190020	56,255,0
chr6	52190021	52195021	HoxA_021	1	+	52190021	52195021	32,255,0
chr6	52195022	52200022	HoxA_022	1	+	52195022	52200022	8,255,0
chr6	52200023	52205023	HoxA_023	1	+	52200023	52205023	0,255,16
chr6	52205024	52210024	HoxA_024	1	+	52205024	52210024	0,255,40
chr6	52210025	52215025	HoxA_025	1	+	52210025	52215025	0,255,64
chr6	52215026	52220026	HoxA_026	1	+	52215026	52220026	0,255,88
chr6	52220027	52225027	HoxA_027	1	+	52220027	52225027	0,255,112
chr6	52225028	52230028	HoxA_028	1	+	52225028	52230028	0,255,135
chr6	52230029	52235029	HoxA_029	1	+	52230029	52235029	0,255,159
chr6	52235030	52240030	HoxA_030	1	+	52235030	52240030	0,255,183
chr6	52240031	52245031	HoxA_031	1	+	52240031	52245031	0,255,207
chr6	52245032	52250032	HoxA_032	1	+	52245032	52250032	0,255,231
chr6	52250033	52255033	HoxA_033	1	+	52250033	52255033	0,255,255
chr6	52255034	52260034	HoxA_034	1	+	52255034	52260034	0,231,255
chr6	52260035	52265035	HoxA_035	1	+	52260035	52265035	0,207,255
chr6	52265036	52270036	HoxA_036	1	+	52265036	52270036	0,183,255
chr6	52270037	52275037	HoxA_037	1	+	52270037	52275037	0,159,255
chr6	52275038	52280038	HoxA_038	1	+	52275038	52280038	0,135,255
chr6	52280039	52285039	HoxA_039	1	+	52280039	52285039	0,112,255
chr6	52285040	52290040	HoxA_040	1	+	52285040	52290040	0,88,255
chr6	52290041	52295041	HoxA_041	1	+	52290041	52295041	0,64,255
chr6	52295042	52300042	HoxA_042	1	+	52295042	52300042	0,40,255
chr6	52300043	52305043	HoxA_043	1	+	52300043	52305043	0,16,255
chr6	52305044	52310044	HoxA_044	1	+	52305044	52310044	8,0,255
chr6	52310045	52315045	HoxA_045	1	+	52310045	52315045	32,0,255
chr6	52315046	52320046	HoxA_046	1	+	52315046	52320046	56,0,255
chr6	52320047	52325047	HoxA_047	1	+	52320047	52325047	80,0,255
chr6	52325048	52330048	HoxA_048	1	+	52325048	52330048	104,0,255
chr6	52330049	52335049	HoxA_049	1	+	52330049	52335049	128,0,255
chr6	52335050	52340050	HoxA_050	1	+	52335050	52340050	151,0,255
chr6	52340051	52345051	HoxA_051	1	+	52340051	52345051	175,0,255
chr6	52345052	52350052	HoxA_052	1	+	52345052	52350052	199,0,255
chr6	52350053	52355053	HoxA_053	1	+	52350053	52355053	223,0,255
chr6	52355054	52360054	HoxA_054	1	+	52355054	52360054	247,0,255
chr6	52360055	52365055	HoxA_055	1	+	52360055	52365055	255,0,239
chr6	52365056	52370056	HoxA_056	1	+	52365056	52370056	255,0,215
chr6	52370057	52375057	HoxA_057	1	+	52370057	52375057	255,0,191
chr6	52375058	52380006	HoxA_058	1	+	52375058	52380006	255,0,167
